,Company,Location,Global Company Size,Industry,Salaries,Jobs,Rating,Reviews
166,Samsung R&D Institute India - Bangalore," #2870, Phoenix Building, 4th Floor Bagmane Constellation Business Park, Outer Ring Rd, Doddanekundi, Marathahalli ",1001 to 5000 Employees,Research & Development,2TSalaries,1Jobs,3.8★,3.4TReviews
167,Procter & Gamble,36 office locations,10000+ Employees,Consumer Product Manufacturing,233Salaries,1.6TJobs,4.2★,14.3TReviews
168,Starbucks,8 office locations,10000+ Employees,Restaurants & Cafes,143Salaries,25.8TJobs,3.8★,56TReviews
169,Anonymous,"Headquarters in Bangkok, Thailand",1 to 50 Employees,N/A,924Salaries,4Jobs,3.8★,3.2TReviews
170,Sitel Group,27 office locations,10000+ Employees,Telecommunications Services,213Salaries,1.2TJobs,3.8★,11.5TReviews
171,Gartner,24 office locations,10000+ Employees,Business Consulting,411Salaries,926Jobs,4.0★,6.3TReviews
172,GE Healthcare,25 office locations,5001 to 10000 Employees,Healthcare Services & Hospitals,440Salaries,1TJobs,4.3★,6.2TReviews
173,Johnson Controls,45 office locations,10000+ Employees,Machinery Manufacturing,305Salaries,4.7TJobs,3.6★,7.7TReviews
174,Cummins,25 office locations,10000+ Employees,Transportation Equipment Manufacturing,268Salaries,1.5TJobs,4.1★,6.9TReviews
175,Informatica,29 office locations,5001 to 10000 Employees,Enterprise Software & Network Solutions,645Salaries,173Jobs,4.2★,2.6TReviews
176,Nones,"Headquarters in Berlin, Germany",Unknown,N/A,1.1TSalaries,2Jobs,3.9★,2.2TReviews
177,NortonLifeLock,5 office locations,1001 to 5000 Employees,Computer Hardware Development,525Salaries,14Jobs,3.9★,5TReviews
178,Caterpillar,34 office locations,10000+ Employees,Machinery Manufacturing,257Salaries,1.2TJobs,4.0★,7TReviews
179,Tata Motors,"Coventry, ENG",10000+ Employees,Transportation Equipment Manufacturing,1.4TSalaries,1Jobs,4.1★,3.4TReviews
180,eClerx,13 office locations,10000+ Employees,Business Consulting,1.8TSalaries,985Jobs,3.6★,3.3TReviews
181,Expedia Group,31 office locations,10000+ Employees,Internet & Web Services,256Salaries,756Jobs,4.1★,6.2TReviews
182,GSK,107 office locations,10000+ Employees,Biotech & Pharmaceuticals,165Salaries,2.7TJobs,4.0★,11TReviews
183,Cybage Software,18 office locations,5001 to 10000 Employees,Information Technology Support Services,1.5TSalaries,42Jobs,3.9★,3.3TReviews
184,Texas Instruments,25 office locations,10000+ Employees,Electronics Manufacturing,231Salaries,640Jobs,4.3★,4.7TReviews
185,Visa Inc.,29 office locations,10000+ Employees,Information Technology Support Services,554Salaries,877Jobs,4.2★,5.4TReviews
186,Kantar,15 office locations,10000+ Employees,Research & Development,463Salaries,760Jobs,3.7★,4.9TReviews
187,NCR,34 office locations,10000+ Employees,Enterprise Software & Network Solutions,407Salaries,676Jobs,3.6★,6.4TReviews
188,Capita,25 office locations,10000+ Employees,Business Consulting,320Salaries,739Jobs,3.2★,6.1TReviews
189,Bain & Company,65 office locations,10000+ Employees,Business Consulting,856Salaries,701Jobs,4.5★,5.9TReviews
