,Company,Sector,Headquater,Types,Rating,Reviews
267,Translumina Ther...,None,"Delhi,NCT + 7 more",Internet,4.7,105 Reviews
268,Utkarsh Small Fi...,Public,"Varanasi,Uttar Pradesh + 216 more",Financial Services,4.0,1.6k Reviews
269,Evelyn Learning ...,None,"Delhi/NCR,New Delhi + 8 more",Education & Training,3.9,282 Reviews
270,Translumina Ther...,None,"Delhi,NCT + 7 more",Internet,4.7,105 Reviews
271,Morepen Laborato...,Public,"Baddi,Himachal Pradesh + 23 more",Analytics & KPO,3.7,261 Reviews
272,Bussan Auto Fina...,None,New Delhi + 41 more,Financial Services,4.3,267 Reviews
273,Haldiram Foods,None,Nagpur + 72 more,FMCG,4.0,890 Reviews
274,JK Lakshmi Cemen...,Public,"Delhi/NCR,New Delhi + 94 more",Building Material,4.2,688 Reviews
275,Bird Worldwide F...,None,New Delhi + 7 more,Airlines / Aviation / Aerospace,3.7,193 Reviews
276,Bajaj Allianz Ge...,None,None,None,4.3,1.4k Reviews
277,AISATS,None,Mumbai + 7 more,Urban Transport,3.8,162 Reviews
278,Teleperformance,None,Paris + 122 more,BPO,3.6,14.4k Reviews
279,Vestige,None,"Delhi/NCR,Delhi + 80 more",FMCG,4.4,332 Reviews
280,Frankfinn Instit...,None,"Gurgaon/Gurugram,Haryana + 50 more",Education & Training,4.0,812 Reviews
281,Best Sellers,None,Brande + 66 more,Retail,4.4,764 Reviews
282,Shyam Indus Powe...,None,"Delhi/NCR,Delhi + 18 more",Power,3.7,179 Reviews
283,Jamia Hamdard Un...,Public,New Delhi,Education & Training,4.0,101 Reviews
284,G4S,None,"Gurgaon/Gurugram,Haryana + 104 more",Financial Services,4.1,1.5k Reviews
285,Intertek,None,London + 62 more,Advertising / PR / Events,3.9,687 Reviews
286,SISL Infotech,None,"Delhi/NCR,Delhi + 31 more",Analytics & KPO,3.6,171 Reviews
287,Infodrive,None,"New Delhi,Delhi",Other,4.6,183 Reviews
288,Bajaj Electrical...,Public,"Mumbai,Maharashtra + 163 more",Industrial Machinery,4.1,1.9k Reviews
289,The Web Plant,None,New Delhi,None,4.2,97 Reviews
290,Bajaj Allianz Li...,None,Pune + 404 more,Financial Services,4.1,2.9k Reviews
291,L&T Infotech,Public,"Mumbai,Maharashtra + 76 more",IT Services & Consulting,3.9,4.1k Reviews
292,Birla Sun Life I...,None,"Mumbai,Maharashtra + 287 more",Financial Services,4.2,1.5k Reviews
293,Surya Roshni,Public,"Delhi/NCR,Delhi + 49 more",Manufacturing,4.1,374 Reviews
294,Kendriya Vidyala...,Public,"Delhi/NCR,Delhi + 163 more",Education & Training,4.3,683 Reviews
295,Hero MotoCorp,Public,"Gurgaon/Gurugram,Haryana + 266 more",Automobile,4.2,3.2k Reviews
296,Ozone Overseas,None,"Delhi/NCR,Delhi + 21 more",Architecture & Interior Design,3.6,193 Reviews
297,Venkateshwar Hos...,None,"Delhi/NCR,Delhi + 1 more",Healthcare,3.5,116 Reviews
298,Gautam Solar,None,New Delhi + 9 more,Manufacturing,3.9,117 Reviews
